ts,balance_usd,equity_usd,open_positions,equity_peak_usd,drawdown_usd,drawdown_pct
2026-02-16 13:30:00+00:00,10000.0,10368.916400955603,6,10873.232829286702,-504.3164283310998,-4.638146136011545
2026-02-16 13:35:00+00:00,10000.0,10415.830038876456,6,10873.232829286702,-457.40279041024587,-4.206686250461278
2026-02-16 13:40:00+00:00,10000.0,10414.102700824242,6,10873.232829286702,-459.13012846246056,-4.222572400232327
2026-02-16 13:45:00+00:00,10000.0,10408.277147806915,6,10873.232829286702,-464.955681479787,-4.276149410021313
2026-02-16 13:50:00+00:00,10000.0,10413.896040804733,6,10873.232829286702,-459.33678848196905,-4.2244730311003735
2026-02-16 13:55:00+00:00,10000.0,10407.953483031322,6,10873.232829286702,-465.27934625538,-4.2791261215538885
2026-02-16 14:00:00+00:00,10000.0,10351.282008769449,6,10873.232829286702,-521.9508205172533,-4.8003278207323525
2026-02-16 14:05:00+00:00,10000.0,10369.30534289402,6,10873.232829286702,-503.9274863926821,-4.634569077150353
2026-02-16 14:10:00+00:00,10000.0,10358.997800458665,6,10873.232829286702,-514.2350288280377,-4.729366480987718
2026-02-16 14:15:00+00:00,10000.0,10368.998409825366,6,10873.232829286702,-504.2344194613361,-4.637391908901256
2026-02-16 14:20:00+00:00,10000.0,10398.253423008917,6,10873.232829286702,-474.97940627778553,-4.368336572343445
2026-02-16 14:25:00+00:00,10000.0,10386.634002562261,6,10873.232829286702,-486.5988267244411,-4.475199182839196
2026-02-16 14:30:00+00:00,10000.0,10400.848992079602,6,10873.232829286702,-472.38383720710044,-4.3444653915140075
2026-02-16 14:35:00+00:00,10000.0,10383.206798628758,6,10873.232829286702,-490.0260306579439,-4.506718823660927
2026-02-16 14:40:00+00:00,10000.0,10393.68503824297,6,10873.232829286702,-479.547791043733,-4.410351535488932
2026-02-16 14:45:00+00:00,10000.0,10398.150436126922,6,10873.232829286702,-475.0823931597806,-4.369283732066897
2026-02-16 14:50:00+00:00,10000.0,10431.716695460758,6,10873.232829286702,-441.51613382594405,-4.060578309670094
2026-02-16 14:55:00+00:00,10000.0,10473.629238981779,6,10873.232829286702,-399.6035903049233,-3.6751129731040444
2026-02-16 15:00:00+00:00,10000.0,10535.47667812803,6,10873.232829286702,-337.75615115867186,-3.1063084591450685
2026-02-16 15:05:00+00:00,10000.0,10519.284216588587,6,10873.232829286702,-353.94861269811554,-3.255228856543624
2026-02-16 15:10:00+00:00,10000.0,10471.207931715195,6,10873.232829286702,-402.0248975715076,-3.6973814861084087
2026-02-16 15:15:00+00:00,10000.0,10473.431260005033,6,10873.232829286702,-399.8015692816698,-3.676933765317869
2026-02-16 15:20:00+00:00,10000.0,10475.503993709648,6,10873.232829286702,-397.72883557705427,-3.6578710473832987
2026-02-16 15:25:00+00:00,10000.0,10409.762280854608,6,10873.232829286702,-463.4705484320948,-4.2624907946765545
2026-02-16 15:30:00+00:00,10000.0,10450.447592632618,6,10873.232829286702,-422.78523665408466,-3.8883121817765764
2026-02-16 15:35:00+00:00,10000.0,10448.505133347644,6,10873.232829286702,-424.7276959390583,-3.9061767793205693
2026-02-16 15:40:00+00:00,10000.0,10513.452390938028,6,10873.232829286702,-359.7804383486746,-3.308863555093
2026-02-16 15:45:00+00:00,10000.0,10547.844902752575,6,10873.232829286702,-325.3879265341275,-2.9925591739165758
2026-02-16 15:50:00+00:00,10000.0,10567.49135784827,6,10873.232829286702,-305.7414714384322,-2.81187275430107
2026-02-16 15:55:00+00:00,10000.0,10574.419602770242,6,10873.232829286702,-298.8132265164604,-2.748154400884495
2026-02-16 16:00:00+00:00,10000.0,10585.961797330912,6,10873.232829286702,-287.27103195579,-2.642002028890933
2026-02-16 16:05:00+00:00,10000.0,10579.741084881669,6,10873.232829286702,-293.4917444050334,-2.6992132791870627
2026-02-16 16:10:00+00:00,10000.0,10526.761971883816,6,10873.232829286702,-346.4708574028864,-3.186456712944452
2026-02-16 16:15:00+00:00,10000.0,10560.773433223829,6,10873.232829286702,-312.45939606287357,-2.873656813650438
2026-02-16 16:20:00+00:00,10000.0,10544.350616646243,6,10873.232829286702,-328.88221264045933,-3.0246957625576276
2026-02-16 16:25:00+00:00,10000.0,10585.336092673182,6,10873.232829286702,-287.89673661352026,-2.6477565700430805
2026-02-16 16:30:00+00:00,10000.0,10582.597741305657,6,10873.232829286702,-290.6350879810452,-2.6729409049186303
2026-02-16 16:35:00+00:00,10000.0,10617.5899936671,6,10873.232829286702,-255.64283561960292,-2.3511207718374005
2026-02-16 16:40:00+00:00,10000.0,10598.25669360683,6,10873.232829286702,-274.97613567987173,-2.528927136915826
2026-02-16 16:45:00+00:00,10000.0,10621.911931033841,6,10873.232829286702,-251.3208982528613,-2.3113723599842095
2026-02-16 16:50:00+00:00,10000.0,10615.261827035472,6,10873.232829286702,-257.97100225122995,-2.372532680035999
2026-02-16 16:55:00+00:00,10000.0,10594.756317132502,6,10873.232829286702,-278.47651215420046,-2.5611197380427053
2026-02-16 17:00:00+00:00,10000.0,10609.980399975731,6,10873.232829286702,-263.2524293109709,-2.4211054195575454
2026-02-16 17:05:00+00:00,10000.0,10669.867278409942,6,10873.232829286702,-203.3655508767606,-1.8703319800988938
2026-02-16 17:10:00+00:00,10000.0,10646.36485760058,6,10873.232829286702,-226.86797168612247,-2.086481318371669
2026-02-16 17:15:00+00:00,10000.0,10628.322287939975,6,10873.232829286702,-244.91054134672777,-2.252416969193094
2026-02-16 17:20:00+00:00,10000.0,10614.149235504483,6,10873.232829286702,-259.0835937822194,-2.3827650695052327
2026-02-16 17:25:00+00:00,10000.0,10614.776283072566,6,10873.232829286702,-258.4565462141363,-2.376998177745182
2026-02-16 17:30:00+00:00,10000.0,10607.239030743713,6,10873.232829286702,-265.9937985429897,-2.4463175094213363
2026-02-16 17:35:00+00:00,10000.0,10606.395483627239,6,10873.232829286702,-266.8373456594636,-2.454075525180932
2026-02-16 17:40:00+00:00,10000.0,10600.583803576763,6,10873.232829286702,-272.64902570993945,-2.5075249467257588
